"G_CP [um]","L_CP [um]","Freq [GHz]","mag(S(2,1)) []","ang_rad(S(2,1)) []"
1,200,7.088,0.991846122712568,-0.522315038551193
1,200,7.0880425,0.991750521206496,-0.523074954746934
1,200,7.088085,0.991653350108304,-0.523842728313608
1,200,7.0881275,0.991554575960415,-0.524618481206071
1,200,7.08817,0.991454164423141,-0.525402337896739
1,200,7.0882125,0.99135208024695,-0.52619442544031
1,200,7.088255,0.991248287243684,-0.526994873540552
1,200,7.0882975,0.991142748256749,-0.527803814619118
1,200,7.08834,0.991035425130186,-0.528621383886539
1,200,7.0883825,0.990926278676596,-0.52944771941541
1,200,7.088425,0.990815268643873,-0.530282962215887
1,200,7.0884675,0.990702353680695,-0.531127256313531
1,200,7.08851,0.990587491300703,-0.531980748829642
1,200,7.0885525,0.990470637845326,-0.532843590064193
1,200,7.088595,0.990351748445206,-0.53371593358132
1,200,7.0886375,0.990230776980126,-0.534597936297677
1,200,7.08868,0.99010767603741,-0.535489758573536
1,200,7.0887225,0.98998239686872,-0.53639156430693
1,200,7.088765,0.989854889345158,-0.537303521030835
1,200,7.0888075,0.989725101910633,-0.538225800013549
1,200,7.08885,0.989592981533384,-0.539158576362379
1,200,7.0888925,0.989458473655609,-0.540102029130716
1,200,7.088935,0.989321522141064,-0.541056341428829
1,200,7.0889775,0.989182069220606,-0.542021700538209
1,200,7.08902,0.98904005543554,-0.542998298029813
1,200,7.0890625,0.988895419578677,-0.543986329886356
1,200,7.089105,0.988748098633013,-0.54498599662871
1,200,7.0891475,0.988598027707908,-0.545997503446669
1,200,7.08919,0.988445139972652,-0.547021060334156
1,200,7.0892325,0.988289366587296,-0.548056882229138
1,200,7.089275,0.988130636630612,-0.549105189158452
1,200,7.0893175,0.987968877025073,-0.550166206387558
1,200,7.08936,0.987804012458668,-0.55124016457572
1,200,7.0894025,0.987635965303452,-0.552327299936506
1,200,7.089445,0.987464655530635,-0.553427854404095
1,200,7.0894875,0.987290000622054,-0.55454207580548
1,200,7.08953,0.987111915477873,-0.555670218038868
1,200,7.0895725,0.98693031232029,-0.556812541258488
1,200,7.089615,0.986745100593112,-0.557969312066075
1,200,7.0896575,0.986556186856903,-0.559140803709499
1,200,7.0897,0.986363474679599,-0.560327296288484
1,200,7.0897425,0.986166864522276,-0.561529076968033
1,200,7.089785,0.985966253619872,-0.562746440199701
1,200,7.0898275,0.985761535856596,-0.563979687951187
1,200,7.08987,0.985552601635746,-0.565229129944511
1,200,7.0899125,0.985339337743686,-0.566495083903135
1,200,7.089955,0.985121627207632,-0.567777875808554
1,200,7.0899975,0.984899349146984,-0.569077840166503
1,200,7.09004,0.984672378617808,-0.570395320283638
1,200,7.0900825,0.98444058645017,-0.571730668554665
1,200,7.090125,0.984203839077928,-0.573084246760666
1,200,7.0901675,0.983961998360551,-0.574456426379139
1,200,7.09021,0.983714921396598,-0.575847588906149
1,200,7.0902525,0.983462460328368,-0.57725812619122
1,200,7.090295,0.983204462137284,-0.578688440785469
1,200,7.0903375,0.982940768429455,-0.580138946303823
1,200,7.09038,0.982671215210999,-0.581610067801405
1,200,7.0904225,0.98239563265238,-0.583102242165681
1,200,7.090465,0.982113844841358,-0.584615918524085
1,200,7.0905075,0.981825669523796,-0.586151558668479
1,200,7.09055,0.98153091783169,-0.587709637497105
1,200,7.0905925,0.98122939399769,-0.589290643474789
1,200,7.090635,0.980920895055402,-0.590895079112237
1,200,7.0906775,0.98060521052458,-0.592523461465558
1,200,7.09072,0.980282122080442,-0.59417632265665
1,200,7.0907625,0.979951403206157,-0.595854210415663
1,200,7.090805,0.9796128188275,-0.597557688646741
1,200,7.0908475,0.979266124928697,-0.599287338017892
1,200,7.09089,0.978911068148368,-0.601043756576257
1,200,7.0909325,0.978547385354337,-0.602827560390202
1,200,7.090975,0.97817480319612,-0.604639384219405
1,200,7.0910175,0.977793037633757,-0.606479882214309
1,200,7.09106,0.977401793441536,-0.608349728646594
1,200,7.0911025,0.977000763685144,-0.610249618672094
1,200,7.091145,0.976589629170648,-0.612180269127684
1,200,7.0911875,0.976168057863491,-0.614142419364387
1,200,7.09123,0.97573570427583,-0.616136832117788
1,200,7.0912725,0.975292208820108,-0.618164294418373
1,200,7.091315,0.974837197126865,-0.62022561854351
1,200,7.0913575,0.974370279324533,-0.62232164301322
