"G_CP [um]","L_CP [um]","Freq [GHz]","ang_rad(S(2,1)) []","mag(S(2,1)) []"
31,200,7.1185,-0.486714798268773,0.987667359529837
31,200,7.1185075,-0.487210833912369,0.987591106931069
31,200,7.118515,-0.487711038551433,0.987513967287036
31,200,7.1185225,-0.488215464754739,0.98743592629147
31,200,7.11853,-0.488724165974259,0.987356969344726
31,200,7.1185375,-0.489237196563649,0.987277081546493
31,200,7.118545,-0.489754611797407,0.987196247688282
31,200,7.1185525,-0.490276467890129,0.987114452245735
31,200,7.11856,-0.490802822016762,0.987031679370645
31,200,7.1185675,-0.491333732332813,0.986947912882811
31,200,7.118575,-0.491869257995229,0.986863136261648
31,200,7.1185825,-0.492409459184567,0.98677733263741
31,200,7.11859,-0.492954397126524,0.986690484782349
31,200,7.1185975,-0.493504134114786,0.986602575101498
31,200,7.118605,-0.494058733534225,0.986513585623196
31,200,7.1186125,-0.494618259884943,0.986423497989306
31,200,7.11862,-0.495182778806586,0.986332293445178
31,200,7.1186275,-0.495752357103491,0.986239952829294
31,200,7.118635,-0.496327062770716,0.986146456562536
31,200,7.1186425,-0.496906965020056,0.986051784637258
31,200,7.11865,-0.497492134307894,0.985955916605826
31,200,7.1186575,-0.498082642362459,0.985858831569021
31,200,7.118665,-0.498678562212982,0.985760508163893
31,200,7.1186725,-0.499279968218845,0.985660924551355
31,200,7.11868,-0.499886936100059,0.985560058403317
31,200,7.1186875,-0.500499542968156,0.985457886889455
31,200,7.118695,-0.501117867358172,0.985354386663552
31,200,7.1187025,-0.501741989261368,0.985249533849396
31,200,7.11871,-0.502371990159132,0.985143304026197
31,200,7.1187175,-0.503007953057348,0.985035672213612
31,200,7.118725,-0.503649962522331,0.984926612856178
31,200,7.1187325,-0.504298104716949,0.984816099807391
31,200,7.11874,-0.504952467438651,0.984704106313089
31,200,7.1187475,-0.505613140158143,0.984590604994391
31,200,7.118755,-0.506280214058912,0.984475567830098
31,200,7.1187625,-0.506953782077979,0.984358966138504
31,200,7.11877,-0.507633938948821,0.984240770558426
31,200,7.1187775,-0.508320781243691,0.984120951029914
31,200,7.118785,-0.509014407418713,0.983999476774051
31,200,7.1187925,-0.509714917859715,0.983876316272169
31,200,7.1188,-0.510422414928974,0.983751437244436
31,200,7.1188075,-0.511137003014247,0.983624806627549
31,200,7.118815,-0.511858788578406,0.983496390551821
31,200,7.1188225,-0.512587880211153,0.983366154317357
31,200,7.11883,-0.513324388681798,0.983234062369516
31,200,7.1188375,-0.514068426993873,0.983100078273443
31,200,7.118845,-0.514820110441247,0.982964164687769
31,200,7.1188525,-0.515579556666235,0.982826283337315
31,200,7.11886,-0.516346885718913,0.982686394984943
31,200,7.1188675,-0.517122220118955,0.982544459402277
31,200,7.118875,-0.517905684918405,0.982400435339563
31,200,7.1188825,-0.518697407767377,0.98225428049426
31,200,7.11889,-0.519497518981359,0.982105951478589
31,200,7.1188975,-0.520306151610067,0.981955403786011
31,200,7.118905,-0.521123441509432,0.981802591756298
31,200,7.1189125,-0.521949527415363,0.981647468539427
31,200,7.11892,-0.522784551019296,0.981489986058245
31,200,7.1189275,-0.523628657047171,0.981330094969574
31,200,7.118935,-0.524481993340386,0.981167744623965
31,200,7.1189425,-0.525344710938811,0.981002883024069
31,200,7.11895,-0.5262169641678,0.980835456781177
31,200,7.1189575,-0.527098910726004,0.980665411070533
31,200,7.118965,-0.527990711778697,0.980492689584428
31,200,7.1189725,-0.528892532051642,0.98031723448401
31,200,7.11898,-0.529804539929324,0.98013898634899
31,200,7.1189875,-0.530726907556028,0.979957884125503
31,200,7.118995,-0.531659810940662,0.979773865071876
31,200,7.1190025,-0.532603430064365,0.97958686470243
31,200,7.11901,-0.53355794899249,0.979396816728936
31,200,7.1190175,-0.534523555989671,0.979203652999912
31,200,7.119025,-0.535500443639138,0.979007303437455
31,200,7.1190325,-0.536488808965905,0.978807695971606
31,200,7.11904,-0.537488853564538,0.978604756472021
31,200,7.1190475,-0.538500783730714,0.978398408677031
31,200,7.119055,-0.539524810597583,0.978188574119786
31,200,7.1190625,-0.540561150277197,0.977975172051337
31,200,7.11907,-0.541610024006223,0.977758119360719
31,200,7.1190775,-0.54267165829704,0.977537330491707
31,200,7.119085,-0.543746285094643,0.977312717356042
31,200,7.1190925,-0.544834141937729,0.977084189243347
31,200,7.1191,-0.545935472127643,0.976851652726856
31,200,7.1191075,-0.547050524900895,0.976615011565704
31,200,7.119115,-0.548179555610027,0.976374166602653
31,200,7.1191225,-0.549322825909531,0.976129015657818
31,200,7.11913,-0.550480603949569,0.975879453417617
31,200,7.1191375,-0.551653164576178,0.975625371319122
31,200,7.119145,-0.5528407895381,0.975366657429557
31,200,7.1191525,-0.554043767703481,0.975103196320134
31,200,7.11916,-0.555262395282595,0.974834868934778
31,200,7.1191675,-0.556496976059456,0.974561552453023
31,200,7.119175,-0.557747821632175,0.974283120146825
