G_CP [um],L_CP [um],Freq [GHz],"mag(S(2,1)) []","ang_rad(S(2,1)) []"
1,200,7.088,0.991846123,-0.522315039
1,200,7.0880425,0.991750521,-0.523074955
1,200,7.088085,0.99165335,-0.523842728
1,200,7.0881275,0.991554576,-0.524618481
1,200,7.08817,0.991454164,-0.525402338
1,200,7.0882125,0.99135208,-0.526194425
1,200,7.088255,0.991248287,-0.526994874
1,200,7.0882975,0.991142748,-0.527803815
1,200,7.08834,0.991035425,-0.528621384
1,200,7.0883825,0.990926279,-0.529447719
1,200,7.088425,0.990815269,-0.530282962
1,200,7.0884675,0.990702354,-0.531127256
1,200,7.08851,0.990587491,-0.531980749
1,200,7.0885525,0.990470638,-0.53284359
1,200,7.088595,0.990351748,-0.533715934
1,200,7.0886375,0.990230777,-0.534597936
1,200,7.08868,0.990107676,-0.535489759
1,200,7.0887225,0.989982397,-0.536391564
1,200,7.088765,0.989854889,-0.537303521
1,200,7.0888075,0.989725102,-0.5382258
1,200,7.08885,0.989592982,-0.539158576
1,200,7.0888925,0.989458474,-0.540102029
1,200,7.088935,0.989321522,-0.541056341
1,200,7.0889775,0.989182069,-0.542021701
1,200,7.08902,0.989040055,-0.542998298
1,200,7.0890625,0.98889542,-0.54398633
1,200,7.089105,0.988748099,-0.544985997
1,200,7.0891475,0.988598028,-0.545997503
1,200,7.08919,0.98844514,-0.54702106
1,200,7.0892325,0.988289367,-0.548056882
1,200,7.089275,0.988130637,-0.549105189
1,200,7.0893175,0.987968877,-0.550166206
1,200,7.08936,0.987804012,-0.551240165
1,200,7.0894025,0.987635965,-0.5523273
1,200,7.089445,0.987464656,-0.553427854
1,200,7.0894875,0.987290001,-0.554542076
1,200,7.08953,0.987111915,-0.555670218
1,200,7.0895725,0.986930312,-0.556812541
1,200,7.089615,0.986745101,-0.557969312
1,200,7.0896575,0.986556187,-0.559140804
1,200,7.0897,0.986363475,-0.560327296
1,200,7.0897425,0.986166865,-0.561529077
1,200,7.089785,0.985966254,-0.56274644
1,200,7.0898275,0.985761536,-0.563979688
1,200,7.08987,0.985552602,-0.56522913
1,200,7.0899125,0.985339338,-0.566495084
1,200,7.089955,0.985121627,-0.567777876
1,200,7.0899975,0.984899349,-0.56907784
1,200,7.09004,0.984672379,-0.57039532
1,200,7.0900825,0.984440586,-0.571730669
1,200,7.090125,0.984203839,-0.573084247
1,200,7.0901675,0.983961998,-0.574456426
1,200,7.09021,0.983714921,-0.575847589
1,200,7.0902525,0.98346246,-0.577258126
1,200,7.090295,0.983204462,-0.578688441
1,200,7.0903375,0.982940768,-0.580138946
1,200,7.09038,0.982671215,-0.581610068
1,200,7.0904225,0.982395633,-0.583102242
1,200,7.090465,0.982113845,-0.584615919
1,200,7.0905075,0.98182567,-0.586151559
1,200,7.09055,0.981530918,-0.587709637
1,200,7.0905925,0.981229394,-0.589290643
1,200,7.090635,0.980920895,-0.590895079
1,200,7.0906775,0.980605211,-0.592523461
1,200,7.09072,0.980282122,-0.594176323
1,200,7.0907625,0.979951403,-0.59585421
1,200,7.090805,0.979612819,-0.597557689
1,200,7.0908475,0.979266125,-0.599287338
1,200,7.09089,0.978911068,-0.601043757
1,200,7.0909325,0.978547385,-0.60282756
1,200,7.090975,0.978174803,-0.604639384
1,200,7.0910175,0.977793038,-0.606479882
1,200,7.09106,0.977401793,-0.608349729
1,200,7.0911025,0.977000764,-0.610249619
1,200,7.091145,0.976589629,-0.612180269
