G_CP [um],L_CP [um],Freq [GHz],"mag(S(2,1)) []","ang_rad(S(2,1)) []"
72,200,7.16,0.999889037,-0.348958577
72,200,7.16000082,0.999889036,-0.348958687
72,200,7.160001639,0.999889035,-0.348958797
72,200,7.160002459,0.999889034,-0.348958908
72,200,7.160003279,0.999889033,-0.348959018
72,200,7.160004098,0.999889033,-0.348959128
72,200,7.160004918,0.999889032,-0.348959238
72,200,7.160005738,0.999889031,-0.348959349
72,200,7.160006557,0.99988903,-0.348959459
72,200,7.160007377,0.999889029,-0.348959569
72,200,7.160008197,0.999889029,-0.34895968
72,200,7.160009016,0.999889028,-0.34895979
72,200,7.160009836,0.999889027,-0.3489599
72,200,7.160010656,0.999889026,-0.348960011
72,200,7.160011475,0.999889025,-0.348960121
72,200,7.160012295,0.999889025,-0.348960232
72,200,7.160013115,0.999889024,-0.348960342
72,200,7.160013934,0.999889023,-0.348960453
72,200,7.160014754,0.999889022,-0.348960563
72,200,7.160015574,0.999889021,-0.348960674
72,200,7.160016393,0.99988902,-0.348960784
72,200,7.160017213,0.99988902,-0.348960895
72,200,7.160018033,0.999889019,-0.348961005
72,200,7.160018852,0.999889018,-0.348961116
72,200,7.160019672,0.999889017,-0.348961226
72,200,7.160020492,0.999889016,-0.348961337
72,200,7.160021311,0.999889016,-0.348961447
72,200,7.160022131,0.999889015,-0.348961558
72,200,7.160022951,0.999889014,-0.348961669
72,200,7.16002377,0.999889013,-0.348961779
72,200,7.16002459,0.999889012,-0.34896189
72,200,7.16002541,0.999889012,-0.348962
72,200,7.16002623,0.999889011,-0.348962111
72,200,7.160027049,0.99988901,-0.348962222
72,200,7.160027869,0.999889009,-0.348962332
72,200,7.160028689,0.999889008,-0.348962443
72,200,7.160029508,0.999889008,-0.348962554
72,200,7.160030328,0.999889007,-0.348962665
72,200,7.160031148,0.999889006,-0.348962775
72,200,7.160031967,0.999889005,-0.348962886
72,200,7.160032787,0.999889004,-0.348962997
72,200,7.160033607,0.999889004,-0.348963108
72,200,7.160034426,0.999889003,-0.348963218
72,200,7.160035246,0.999889002,-0.348963329
72,200,7.160036066,0.999889001,-0.34896344
72,200,7.160036885,0.999889,-0.348963551
72,200,7.160037705,0.999888999,-0.348963662
72,200,7.160038525,0.999888999,-0.348963773
72,200,7.160039344,0.999888998,-0.348963884
72,200,7.160040164,0.999888997,-0.348963995
