G_CP [um],L_CP [um],Freq [GHz],"mag(S(2,1)) []","ang_rad(S(2,1)) []"
22,200,7.077,0.999709848,-0.373961244
22,200,7.077000123,0.999709802,-0.373963668
22,200,7.077000246,0.999709756,-0.373966094
22,200,7.077000369,0.99970971,-0.373968519
22,200,7.077000492,0.999709664,-0.373970945
22,200,7.077000615,0.999709618,-0.373973371
22,200,7.077000738,0.999709572,-0.373975798
22,200,7.077000861,0.999709527,-0.373978225
22,200,7.077000984,0.999709481,-0.373980653
22,200,7.077001107,0.999709435,-0.373983081
22,200,7.07700123,0.999709389,-0.373985509
22,200,7.077001352,0.999709343,-0.373987938
22,200,7.077001475,0.999709297,-0.373990367
22,200,7.077001598,0.999709251,-0.373992796
22,200,7.077001721,0.999709205,-0.373995226
22,200,7.077001844,0.999709159,-0.373997657
22,200,7.077001967,0.999709113,-0.374000087
22,200,7.07700209,0.999709067,-0.374002519
22,200,7.077002213,0.999709021,-0.37400495
22,200,7.077002336,0.999708975,-0.374007382
22,200,7.077002459,0.999708929,-0.374009815
22,200,7.077002582,0.999708883,-0.374012247
22,200,7.077002705,0.999708836,-0.374014681
22,200,7.077002828,0.99970879,-0.374017114
22,200,7.077002951,0.999708744,-0.374019548
22,200,7.077003074,0.999708698,-0.374021983
22,200,7.077003197,0.999708652,-0.374024417
22,200,7.07700332,0.999708606,-0.374026853
22,200,7.077003443,0.999708559,-0.374029288
22,200,7.077003566,0.999708513,-0.374031724
22,200,7.077003689,0.999708467,-0.374034161
22,200,7.077003811,0.999708421,-0.374036598
22,200,7.077003934,0.999708375,-0.374039035
22,200,7.077004057,0.999708328,-0.374041473
22,200,7.07700418,0.999708282,-0.374043911
22,200,7.077004303,0.999708236,-0.374046349
22,200,7.077004426,0.99970819,-0.374048788
22,200,7.077004549,0.999708143,-0.374051228
22,200,7.077004672,0.999708097,-0.374053667
22,200,7.077004795,0.999708051,-0.374056107
22,200,7.077004918,0.999708004,-0.374058548
22,200,7.077005041,0.999707958,-0.374060989
22,200,7.077005164,0.999707911,-0.37406343
22,200,7.077005287,0.999707865,-0.374065872
22,200,7.07700541,0.999707819,-0.374068314
22,200,7.077005533,0.999707772,-0.374070757
22,200,7.077005656,0.999707726,-0.3740732
22,200,7.077005779,0.999707679,-0.374075643
22,200,7.077005902,0.999707633,-0.374078087
22,200,7.077006025,0.999707586,-0.374080531
22,200,7.077006148,0.99970754,-0.374082976
22,200,7.07700627,0.999707493,-0.374085421
22,200,7.077006393,0.999707447,-0.374087867
22,200,7.077006516,0.9997074,-0.374090312
22,200,7.077006639,0.999707354,-0.374092759
22,200,7.077006762,0.999707307,-0.374095205
22,200,7.077006885,0.999707261,-0.374097653
22,200,7.077007008,0.999707214,-0.3741001
22,200,7.077007131,0.999707168,-0.374102548
22,200,7.077007254,0.999707121,-0.374104996
22,200,7.077007377,0.999707074,-0.374107445
22,200,7.0770075,0.999707028,-0.374109894
22,200,7.077007623,0.999706981,-0.374112344
22,200,7.077007746,0.999706934,-0.374114794
22,200,7.077007869,0.999706888,-0.374117244
22,200,7.077007992,0.999706841,-0.374119695
22,200,7.077008115,0.999706794,-0.374122146
22,200,7.077008238,0.999706748,-0.374124598
22,200,7.077008361,0.999706701,-0.37412705
22,200,7.077008484,0.999706654,-0.374129502
22,200,7.077008607,0.999706607,-0.374131955
22,200,7.07700873,0.999706561,-0.374134409
22,200,7.077008852,0.999706514,-0.374136862
22,200,7.077008975,0.999706467,-0.374139316
22,200,7.077009098,0.99970642,-0.374141771
22,200,7.077009221,0.999706373,-0.374144226
22,200,7.077009344,0.999706326,-0.374146681
22,200,7.077009467,0.99970628,-0.374149137
22,200,7.07700959,0.999706233,-0.374151593
22,200,7.077009713,0.999706186,-0.37415405
22,200,7.077009836,0.999706139,-0.374156507
22,200,7.077009959,0.999706092,-0.374158964
22,200,7.077010082,0.999706045,-0.374161422
