G_CP [um],L_CP [um],Freq [GHz],"mag(S(2,1)) []","ang_rad(S(2,1)) []"
6,200,7.10725,0.997478138,-0.426825514
6,200,7.107250008,0.997477691,-0.426831875
6,200,7.107250017,0.997477244,-0.426838236
6,200,7.107250025,0.997476797,-0.426844599
6,200,7.107250033,0.99747635,-0.426850963
6,200,7.107250042,0.997475903,-0.426857327
6,200,7.10725005,0.997475455,-0.426863693
6,200,7.107250058,0.997475008,-0.42687006
6,200,7.107250067,0.99747456,-0.426876428
6,200,7.107250075,0.997474112,-0.426882796
6,200,7.107250083,0.997473664,-0.426889166
6,200,7.107250092,0.997473216,-0.426895537
6,200,7.1072501,0.997472768,-0.426901908
6,200,7.107250108,0.99747232,-0.426908281
6,200,7.107250117,0.997471872,-0.426914655
6,200,7.107250125,0.997471423,-0.426921029
6,200,7.107250133,0.997470975,-0.426927405
6,200,7.107250142,0.997470526,-0.426933781
6,200,7.10725015,0.997470077,-0.426940159
6,200,7.107250158,0.997469628,-0.426946538
6,200,7.107250167,0.997469179,-0.426952917
6,200,7.107250175,0.99746873,-0.426959298
6,200,7.107250183,0.997468281,-0.42696568
6,200,7.107250192,0.997467832,-0.426972062
6,200,7.1072502,0.997467382,-0.426978446
6,200,7.107250208,0.997466933,-0.42698483
6,200,7.107250217,0.997466483,-0.426991216
6,200,7.107250225,0.997466033,-0.426997603
6,200,7.107250233,0.997465584,-0.42700399
6,200,7.107250242,0.997465134,-0.427010379
6,200,7.10725025,0.997464683,-0.427016768
6,200,7.107250258,0.997464233,-0.427023159
6,200,7.107250267,0.997463783,-0.427029551
6,200,7.107250275,0.997463333,-0.427035943
6,200,7.107250283,0.997462882,-0.427042337
6,200,7.107250292,0.997462431,-0.427048731
6,200,7.1072503,0.997461981,-0.427055127
6,200,7.107250308,0.99746153,-0.427061524
6,200,7.107250317,0.997461079,-0.427067921
6,200,7.107250325,0.997460628,-0.42707432
6,200,7.107250333,0.997460176,-0.427080719
6,200,7.107250342,0.997459725,-0.42708712
6,200,7.10725035,0.997459274,-0.427093522
6,200,7.107250358,0.997458822,-0.427099924
6,200,7.107250367,0.997458371,-0.427106328
6,200,7.107250375,0.997457919,-0.427112733
6,200,7.107250383,0.997457467,-0.427119138
6,200,7.107250392,0.997457015,-0.427125545
6,200,7.1072504,0.997456563,-0.427131952
6,200,7.107250408,0.997456111,-0.427138361
6,200,7.107250417,0.997455658,-0.427144771
6,200,7.107250425,0.997455206,-0.427151181
6,200,7.107250433,0.997454753,-0.427157593
6,200,7.107250442,0.997454301,-0.427164006
