G_CP [um],L_CP [um],Freq [GHz],"mag(S(2,1)) []","ang_rad(S(2,1)) []"
6,200,7.10725,0.997478138,-0.426825514
6,200,7.1072505,0.997451161,-0.42720865
6,200,7.107251,0.99742378,-0.427595408
6,200,7.1072515,0.997395987,-0.427985842
6,200,7.107252,0.997367775,-0.428380002
6,200,7.1072525,0.997339136,-0.428777942
6,200,7.107253,0.99731006,-0.429179718
6,200,7.1072535,0.997280539,-0.429585384
6,200,7.107254,0.997250564,-0.429994997
6,200,7.1072545,0.997220127,-0.430408615
6,200,7.107255,0.997189217,-0.430826297
6,200,7.1072555,0.997157826,-0.431248103
6,200,7.107256,0.997125943,-0.431674093
6,200,7.1072565,0.997093559,-0.43210433
6,200,7.107257,0.997060663,-0.432538879
6,200,7.1072575,0.997027244,-0.432977803
6,200,7.107258,0.996993292,-0.433421169
6,200,7.1072585,0.996958796,-0.433869045
6,200,7.107259,0.996923745,-0.434321499
6,200,7.1072595,0.996888125,-0.434778602
6,200,7.10726,0.996851927,-0.435240426
6,200,7.1072605,0.996815137,-0.435707044
6,200,7.107261,0.996777742,-0.43617853
6,200,7.1072615,0.99673973,-0.436654962
6,200,7.107262,0.996701088,-0.437136416
6,200,7.1072625,0.996661801,-0.437622973
6,200,7.107263,0.996621856,-0.438114714
6,200,7.1072635,0.996581239,-0.438611722
6,200,7.107264,0.996539933,-0.439114082
6,200,7.1072645,0.996497925,-0.43962188
6,200,7.107265,0.996455199,-0.440135204
6,200,7.1072655,0.996411738,-0.440654146
6,200,7.107266,0.996367527,-0.441178798
6,200,7.1072665,0.996322547,-0.441709253
6,200,7.107267,0.996276782,-0.442245609
6,200,7.1072675,0.996230214,-0.442787964
6,200,7.107268,0.996182824,-0.443336418
6,200,7.1072685,0.996134593,-0.443891076
6,200,7.107269,0.996085502,-0.444452043
6,200,7.1072695,0.996035531,-0.445019425
6,200,7.10727,0.995984658,-0.445593335
6,200,7.1072705,0.995932864,-0.446173884
6,200,7.107271,0.995880125,-0.446761187
6,200,7.1072715,0.995826419,-0.447355364
6,200,7.107272,0.995771723,-0.447956535
6,200,7.1072725,0.995716014,-0.448564823
6,200,7.107273,0.995659266,-0.449180356
6,200,7.1072735,0.995601454,-0.449803263
6,200,7.107274,0.995542552,-0.450433676
6,200,7.1072745,0.995482533,-0.451071732
6,200,7.107275,0.99542137,-0.45171757
6,200,7.1072755,0.995359033,-0.452371333
6,200,7.107276,0.995295493,-0.453033166
6,200,7.1072765,0.99523072,-0.45370322
6,200,7.107277,0.995164682,-0.454381647
6,200,7.1072775,0.995097347,-0.455068606
6,200,7.107278,0.995028682,-0.455764257
6,200,7.1072785,0.994958651,-0.456468766
6,200,7.107279,0.99488722,-0.457182302
6,200,7.1072795,0.994814351,-0.457905039
6,200,7.10728,0.994740007,-0.458637156
6,200,7.1072805,0.994664148,-0.459378834
6,200,7.107281,0.994586734,-0.460130262
6,200,7.1072815,0.994507723,-0.460891633
6,200,7.107282,0.994427072,-0.461663144
6,200,7.1072825,0.994344735,-0.462444998
6,200,7.107283,0.994260667,-0.463237404
6,200,7.1072835,0.99417482,-0.464040574
6,200,7.107284,0.994087144,-0.46485473
6,200,7.1072845,0.993997588,-0.465680097
6,200,7.107285,0.9939061,-0.466516907
6,200,7.1072855,0.993812623,-0.467365398
6,200,7.107286,0.993717103,-0.468225815
6,200,7.1072865,0.993619478,-0.469098411
6,200,7.107287,0.99351969,-0.469983443
6,200,7.1072875,0.993417674,-0.470881179
6,200,7.107288,0.993313366,-0.471791892
6,200,7.1072885,0.993206696,-0.472715864
6,200,7.107289,0.993097597,-0.473653385
6,200,7.1072895,0.992985993,-0.474604754
6,200,7.10729,0.99287181,-0.475570278
6,200,7.1072905,0.992754969,-0.476550272
6,200,7.107291,0.992635388,-0.477545064
6,200,7.1072915,0.992512984,-0.478554988
6,200,7.107292,0.992387668,-0.479580391
6,200,7.1072925,0.99225935,-0.480621628
6,200,7.107293,0.992127933,-0.481679067
6,200,7.1072935,0.991993321,-0.482753086
6,200,7.107294,0.991855409,-0.483844077
6,200,7.1072945,0.991714093,-0.484952441
6,200,7.107295,0.991569261,-0.486078593
6,200,7.1072955,0.991420798,-0.487222964
6,200,7.107296,0.991268583,-0.488385995
6,200,7.1072965,0.991112493,-0.489568142
6,200,7.107297,0.990952396,-0.490769879
6,200,7.1072975,0.990788158,-0.491991692
6,200,7.107298,0.990619636,-0.493234084
6,200,7.1072985,0.990446685,-0.494497576
6,200,7.107299,0.990269149,-0.495782706
6,200,7.1072995,0.99008687,-0.497090031
6,200,7.1073,0.989899679,-0.498420124
6,200,7.1073005,0.989707402,-0.499773582
6,200,7.107301,0.989509857,-0.50115102
6,200,7.1073015,0.989306853,-0.502553076
6,200,7.107302,0.989098192,-0.503980409
6,200,7.1073025,0.988883665,-0.505433705
6,200,7.107303,0.988663055,-0.50691367
6,200,7.1073035,0.988436134,-0.50842104
6,200,7.107304,0.988202663,-0.509956575
6,200,7.1073045,0.987962394,-0.511521064
6,200,7.107305,0.987715065,-0.513115327
6,200,7.1073055,0.987460401,-0.514740213
6,200,7.107306,0.987198117,-0.516396604
6,200,7.1073065,0.98692791,-0.518085415
6,200,7.107307,0.986649465,-0.519807598
6,200,7.1073075,0.986362451,-0.521564141
6,200,7.107308,0.986066518,-0.523356072
6,200,7.1073085,0.985761301,-0.525184459
6,200,7.107309,0.985446415,-0.527050412
6,200,7.1073095,0.985121456,-0.528955089
6,200,7.10731,0.984785998,-0.530899693
6,200,7.1073105,0.984439593,-0.532885477
6,200,7.107311,0.984081769,-0.534913747
6,200,7.1073115,0.983712029,-0.536985863
6,200,7.107312,0.983329849,-0.539103246
6,200,7.1073125,0.982934676,-0.541267374
6,200,7.107313,0.982525927,-0.543479791
6,200,7.1073135,0.982102985,-0.54574211
6,200,7.107314,0.981665199,-0.548056014
6,200,7.1073145,0.981211882,-0.550423262
6,200,7.107315,0.980742305,-0.552845692
6,200,7.1073155,0.980255699,-0.555325227
6,200,7.107316,0.979751247,-0.557863879
6,200,7.1073165,0.979228085,-0.560463752
6,200,7.107317,0.978685298,-0.563127053
6,200,7.1073175,0.978121911,-0.565856091
6,200,7.107318,0.977536894,-0.568653287
6,200,7.1073185,0.97692915,-0.571521184
6,200,7.107319,0.976297513,-0.574462444
6,200,7.1073195,0.975640742,-0.577479868
6,200,7.10732,0.97495752,-0.580576395
6,200,7.1073205,0.974246438,-0.583755114
6,200,7.107321,0.973505998,-0.587019275
6,200,7.1073215,0.972734602,-0.590372298
6,200,7.107322,0.971930541,-0.593817781
6,200,7.1073225,0.971091991,-0.597359518
6,200,7.107323,0.970217003,-0.601001507
6,200,7.1073235,0.969303489,-0.604747962
6,200,7.107324,0.968349213,-0.608603335
6,200,7.1073245,0.967351779,-0.612572326
6,200,7.107325,0.966308615,-0.6166599
6,200,7.1073255,0.965216963,-0.620871309
6,200,7.107326,0.964073854,-0.625212112
6,200,7.1073265,0.962876097,-0.629688191
6,200,7.107327,0.961620258,-0.634305783
6,200,7.1073275,0.960302633,-0.6390715
6,200,7.107328,0.958919228,-0.643992357
6,200,7.1073285,0.957465731,-0.649075805
6,200,7.107329,0.95593748,-0.654329759
6,200,7.1073295,0.954329434,-0.659762641
6,200,7.10733,0.95263613,-0.665383409
6,200,7.1073305,0.950851649,-0.671201607
6,200,7.107331,0.948969565,-0.677227408
6,200,7.1073315,0.946982896,-0.683471662
6,200,7.107332,0.944884052,-0.689945953
6,200,7.1073325,0.942664765,-0.696662656
6,200,7.107333,0.940316025,-0.703635003
6,200,7.1073335,0.937827999,-0.710877155
6,200,7.107334,0.935189946,-0.718404274
6,200,7.1073345,0.932390119,-0.726232612
6,200,7.107335,0.929415653,-0.734379597
6,200,7.1073355,0.926252448,-0.74286394
6,200,7.107336,0.922885031,-0.751705734
6,200,7.1073365,0.9192964,-0.760926582
6,200,7.107337,0.915467858,-0.770549718
6,200,7.1073375,0.911378817,-0.780600151
6,200,7.107338,0.907006585,-0.791104812
6,200,7.1073385,0.902326126,-0.802092723
6,200,7.107339,0.89730979,-0.813595169
6,200,7.1073395,0.891927018,-0.825645889
6,200,7.10734,0.886144,-0.838281274
6,200,7.1073405,0.879923311,-0.851540589
6,200,7.107341,0.873223498,-0.865466188
6,200,7.1073415,0.865998628,-0.880103757
6,200,7.107342,0.858197793,-0.895502546
6,200,7.1073425,0.849764569,-0.911715616
6,200,7.107343,0.840636442,-0.92880007
6,200,7.1073435,0.830744189,-0.946817272
6,200,7.107344,0.820011243,-0.965833042
6,200,7.1073445,0.808353039,-0.985917797
6,200,7.107345,0.795676384,-1.007146634
6,200,7.1073455,0.781878872,-1.02959931
6,200,7.107346,0.766848403,-1.053360087
6,200,7.1073465,0.750462865,-1.078517403
6,200,7.107347,0.732590088,-1.105163301
6,200,7.1073475,0.713088167,-1.13339255
6,200,7.107348,0.691806327,-1.163301388
6,200,7.1073485,0.668586501,-1.194985787
6,200,7.107349,0.643265834,-1.228539147
6,200,7.1073495,0.615680366,-1.264049336
6,200,7.10735,0.585670127,-1.301594989
6,200,7.1073505,0.553085852,-1.34124103
6,200,7.107351,0.517797463,-1.383033422
6,200,7.1073515,0.47970429,-1.426993267
6,200,7.107352,0.438746792,-1.473110455
6,200,7.1073525,0.394919196,-1.521337262
6,200,7.107353,0.348282114,-1.571582415
6,200,7.1073535,0.298973772,-1.623706314
6,200,7.107354,0.247218201,-1.677518185
6,200,7.1073545,0.193328603,-1.73277594
6,200,7.107355,0.137704355,-1.789189344
6,200,7.1073555,0.080820688,-1.846426809
6,200,7.107356,0.023211084,-1.904125635
6,200,7.1073565,0.034556422,1.179687409
6,200,7.107357,0.091906727,1.122211041
6,200,7.1073575,0.148285915,1.06540978
6,200,7.107358,0.203187096,1.009629689
