G_CP [um],L_CP [um],Freq [GHz],"mag(S(2,1)) []","ang_rad(S(2,1)) []"
6,200,6,0.999316473,-0.314408161
6,200,6.00545,0.999315245,-0.314695818
6,200,6.0109,0.999314016,-0.314983498
6,200,6.01635,0.999312787,-0.315271202
6,200,6.0218,0.999311556,-0.31555893
6,200,6.02725,0.999310324,-0.315846683
6,200,6.0327,0.999309091,-0.316134459
6,200,6.03815,0.999307857,-0.316422261
6,200,6.0436,0.999306622,-0.316710089
6,200,6.04905,0.999305386,-0.316997942
6,200,6.0545,0.999304149,-0.317285821
6,200,6.05995,0.999302911,-0.317573727
6,200,6.0654,0.999301673,-0.31786166
6,200,6.07085,0.999300433,-0.318149621
6,200,6.0763,0.999299192,-0.318437609
6,200,6.08175,0.99929795,-0.318725626
6,200,6.0872,0.999296708,-0.319013671
6,200,6.09265,0.999295464,-0.319301746
6,200,6.0981,0.999294219,-0.319589851
6,200,6.10355,0.999292974,-0.319877985
6,200,6.109,0.999291727,-0.320166151
6,200,6.11445,0.99929048,-0.320454347
6,200,6.1199,0.999289231,-0.320742576
6,200,6.12535,0.999287982,-0.321030836
6,200,6.1308,0.999286732,-0.32131913
6,200,6.13625,0.99928548,-0.321607456
6,200,6.1417,0.999284228,-0.321895817
6,200,6.14715,0.999282975,-0.322184212
6,200,6.1526,0.999281721,-0.322472642
6,200,6.15805,0.999280466,-0.322761108
6,200,6.1635,0.99927921,-0.32304961
6,200,6.16895,0.999277953,-0.323338149
6,200,6.1744,0.999276695,-0.323626726
6,200,6.17985,0.999275436,-0.323915341
6,200,6.1853,0.999274177,-0.324203995
6,200,6.19075,0.999272916,-0.324492688
6,200,6.1962,0.999271654,-0.324781422
6,200,6.20165,0.999270392,-0.325070197
6,200,6.2071,0.999269129,-0.325359014
6,200,6.21255,0.999267864,-0.325647873
6,200,6.218,0.999266599,-0.325936776
6,200,6.22345,0.999265333,-0.326225722
6,200,6.2289,0.999264066,-0.326514714
6,200,6.23435,0.999262798,-0.326803752
6,200,6.2398,0.99926153,-0.327092836
6,200,6.24525,0.99926026,-0.327381968
6,200,6.2507,0.99925899,-0.327671148
6,200,6.25615,0.999257718,-0.327960378
6,200,6.2616,0.999256446,-0.328249658
6,200,6.26705,0.999255173,-0.32853899
6,200,6.2725,0.999253899,-0.328828374
6,200,6.27795,0.999252624,-0.329117812
6,200,6.2834,0.999251348,-0.329407304
6,200,6.28885,0.999250072,-0.329696851
6,200,6.2943,0.999248795,-0.329986456
6,200,6.29975,0.999247516,-0.330276118
6,200,6.3052,0.999246237,-0.33056584
6,200,6.31065,0.999244957,-0.330855621
6,200,6.3161,0.999243677,-0.331145465
6,200,6.32155,0.999242395,-0.331435371
6,200,6.327,0.999241113,-0.331725341
6,200,6.33245,0.99923983,-0.332015377
6,200,6.3379,0.999238546,-0.33230548
6,200,6.34335,0.999237261,-0.332595651
6,200,6.3488,0.999235976,-0.332885892
6,200,6.35425,0.999234689,-0.333176205
6,200,6.3597,0.999233402,-0.33346659
6,200,6.36515,0.999232114,-0.33375705
6,200,6.3706,0.999230826,-0.334047587
6,200,6.37605,0.999229536,-0.334338201
6,200,6.3815,0.999228246,-0.334628896
6,200,6.38695,0.999226956,-0.334919672
6,200,6.3924,0.999225664,-0.335210531
