"G_CP [um]","L_CP [um]","Freq [GHz]","mag(S(2,1)) []","ang_rad(S(2,1)) []"
1,200,7.08,0.998329071306516,-0.449850162552037
1,200,7.08015,0.998291444113416,-0.450549165701486
1,200,7.0803,0.998252616755774,-0.451261211662256
1,200,7.08045,0.99821254084448,-0.451986672503238
1,200,7.0806,0.998171165586222,-0.45272593455284
1,200,7.08075,0.998128437640488,-0.453479399087337
1,200,7.0809,0.99808430096664,-0.454247483059351
1,200,7.08105,0.998038696660229,-0.455030619869316
1,200,7.0812,0.997991562777728,-0.455829260182797
1,200,7.08135,0.997942834148693,-0.456643872796967
1,200,7.0815,0.997892442174361,-0.457474945559683
1,200,7.08165,0.997840314611528,-0.458322986344841
1,200,7.0818,0.997786375340482,-0.45918852408823
1,200,7.08195,0.997730544115649,-0.460072109888097
1,200,7.0821,0.997672736297457,-0.46097431817537
1,200,7.08225,0.997612862563801,-0.461895747958548
1,200,7.0824,0.997550828599322,-0.462837024149007
1,200,7.08255,0.997486534760541,-0.46379879897275
1,200,7.0827,0.9974198757147,-0.464781753475232
1,200,7.08285,0.997350740049907,-0.465786599126543
1,200,7.083,0.997279009854011,-0.466814079534721
1,200,7.08315,0.997204560259273,-0.467864972275891
1,200,7.0833,0.997127258949676,-0.468940090850468
1,200,7.08345,0.997046965627331,-0.47004028677573
1,200,7.0836,0.996963531434067,-0.471166451825969
1,200,7.08375,0.996876798323901,-0.472319520432312
1,200,7.0839,0.99678659838155,-0.473500472255839
1,200,7.08405,0.996692753081692,-0.474710334948478
1,200,7.0842,0.996595072482998,-0.475950187118035
1,200,7.08435,0.99649335435037,-0.477221161514922
1,200,7.0845,0.996387383197999,-0.478524448460213
1,200,7.08465,0.996276929245017,-0.479861299536572
1,200,7.0848,0.996161747274569,-0.481233031565587
1,200,7.08495,0.996041575386007,-0.482641030897948
1,200,7.0851,0.995916133628687,-0.48408675804516
1,200,7.08525,0.99578512250441,-0.485571752685057
1,200,7.0854,0.995648221323996,-0.4870976390764
1,200,7.08555,0.995505086401573,-0.488666131922134
1,200,7.0857,0.995355349068179,-0.490279042724871
1,200,7.08585,0.99519861348378,-0.491938286683442
1,200,7.086,0.995034454224173,-0.493645890184684
1,200,7.08615,0.994862413616072,-0.495403998950852
1,200,7.0863,0.994681998790056,-0.497214886910473
1,200,7.08645,0.994492678416996,-0.499080965867993
1,200,7.0866,0.994293879088703,-0.501004796057216
1,200,7.08675,0.994084981298134,-0.502989097673394
1,200,7.0869,0.993865314968015,-0.505036763491068
1,200,7.08705,0.993634154469386,-0.507150872687992
1,200,7.0872,0.993390713062965,-0.509334706010755
1,200,7.08735,0.993134136686131,-0.511591762435814
1,200,7.0875,0.992863496996712,-0.513925777499164
1,200,7.08765,0.992577783570922,-0.516340743491887
1,200,7.0878,0.992275895136813,-0.518840931744962
1,200,7.08795,0.991956629705598,-0.521430917257985
1,200,7.0881,0.991618673440921,-0.524115605962219
1,200,7.08825,0.991260588079786,-0.526900264949454
1,200,7.0884,0.990880796687517,-0.529790556047026
1,200,7.08855,0.990477567492104,-0.532792573174517
1,200,7.0887,0.990048995498838,-0.535912883984133
1,200,7.08885,0.989592981533384,-0.539158576362379
1,200,7.089,0.989107208297905,-0.542537310461347
1,200,7.08915,0.988589112948601,-0.54605737703319
1,200,7.0893,0.988035855611138,-0.549727762965651
1,200,7.08945,0.987444283138968,-0.553558225064874
1,200,7.0896,0.986810887284653,-0.557559373304802
1,200,7.08975,0.98613175628951,-0.561742764971591
1,200,7.0899,0.985402518695919,-0.566121011377401
1,200,7.09005,0.98461827793965,-0.570707899114835
1,200,7.0902,0.98377353597576,-0.575518528177257
1,200,7.09035,0.982862103816051,-0.58056946969617
1,200,7.0905,0.981876996389721,-0.585878946562462
1,200,7.09065,0.980810308558559,-0.591467040818292
1,200,7.0908,0.979653068391318,-0.597355932463195
1,200,7.09095,0.978395062889927,-0.603570175234413
1,200,7.0911,0.977024630209062,-0.61013701604407
1,200,7.09125,0.975528410953012,-0.617086766126387
1,200,7.0914,0.973891049278777,-0.624453233632379
1,200,7.09155,0.972094832164147,-0.632274229481401
1,200,7.0917,0.970119252157957,-0.640592160831945
1,200,7.09185,0.967940475009108,-0.64945472969161
1,200,7.092,0.965530688498203,-0.658915758087046
1,200,7.09215,0.962857302204419,-0.66903616604699
1,200,7.0923,0.959881959347478,-0.679885134626014
1,200,7.09245,0.95655931060796,-0.691541493570511
1,200,7.0926,0.952835485099384,-0.704095382298957
1,200,7.09275,0.948646174336918,-0.717650243929134
1,200,7.0929,0.943914219685737,-0.732325225432078
1,200,7.09305,0.938546560584,-0.748258072766285
1,200,7.0932,0.932430357654736,-0.765608627909048
1,200,7.09335,0.925428049259797,-0.784563054225563
1,200,7.0935,0.91737102992461,-0.805338935466338
1,200,7.09365,0.908051553496728,-0.828191407196346
1,200,7.0938,0.897212365763193,-0.853420478289341
1,200,7.09395,0.884533472226692,-0.881379666564827
1,200,7.0941,0.86961537757316,-0.91248597414391
1,200,7.09425,0.85195816339986,-0.947231006914514
1,200,7.0944,0.830936043906382,-0.986192599469102
1,200,7.09455,0.805767835211089,-1.03004547965643
1,200,7.0947,0.775485600958817,-1.0795680483297
1,200,7.09485,0.738907436735505,-1.1356399313487
1,200,7.095,0.694627114850216,-1.19922127115295
1,200,7.09515,0.641044242268838,-1.27129982422445
1,200,7.0953,0.576473110702907,-1.35278713102754
1,200,7.09545,0.499380326885482,-1.44434450048511
1,200,7.0956,0.408792652884928,-1.54613195941754
1,200,7.09575,0.304856179958469,-1.65750995567774
1,200,7.0959,0.189394718607305,-1.77678625788861
1,200,7.09605,0.0661599990441763,-1.90115803011046
1,200,7.0962,0.0595445712239228,1.11461228159781
1,200,7.09635,0.181897444621777,0.991242137698692
1,200,7.0965,0.29583377056476,0.873795589101043
1,200,7.09665,0.397960209473018,0.764797576219719
1,200,7.0968,0.486785686446408,0.665649863988148
1,200,7.09695,0.562384839900968,0.576755296538587
1,200,7.0971,0.625828590440763,0.497795454601648
1,200,7.09725,0.678657178850821,0.428022691759527
1,200,7.0974,0.722512879795267,0.366491994244736
1,200,7.09755,0.7589335116057,0.312215221072317
1,200,7.0977,0.789261981915322,0.264249699734394
1,200,7.09785,0.814624710905674,0.221741108646804
1,200,7.098,0.835944661000985,0.183938303293523
